X,Y,OBJECTID,Inventory_Date,Species,DBH,Condition,TreeHeight,CrownWidthNS,CrownWidthEW,CollectedBy,Notes,CrownBaseHeight,GlobalID,StaffReview,created_user,created_date,last_edited_user,last_edited_date,UserID,Structural_Value,Carbon_Storage_lb,Carbon_Storage_value,Carbon_Sequestration_lb,Carbon_Sequestration_value,Stormwater_ft,Stormwater_value,Pollution_Removal_value,Pollution_Removal_oz,Total_Annual_Benefits,Family,Genus,Common_name,Genus_species,Functional_type,Size,Native,Edible,Nuisance,Origin,Species_factoid,PropertyID
-13658192.9933136,5712531.55718071,436,2017/05/09 00:00:00+00,PSME,34.1,Fair,112,45,50,staff,,6,{14FB24A4-2C4D-4788-A8CE-FFEABA63BC37},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,11,8636.39,2689.8,174.47,33,2.14,133,8.89,16.15,35.8,27.18,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,CE,L,Yes,,,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico",Bracts on cones look like a mouse's feet and tail.,137
-13658271.1008195,5712513.33634991,437,2017/05/09 00:00:00+00,QURU,14.9,Fair,48,33,27,staff,,6,{E405B54F-10D1-44B9-86B9-E0C8EC454A14},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,12,3142.87,981.1,63.64,30.6,1.99,32.7,2.19,3.97,8.8,8.15,Fagaceae,Quercus,northern red oak,Quercus rubra,BD,L,No,,,"North America - eastern Canada and eastern USA from the eastern edge of the Great Plains east to the Atlantic and south to Alabama, Georgia and Arkansas",Acorns take two years to mature and are an important food source for wildlife.,137
-13658196.7877981,5712543.29490471,438,2017/05/09 00:00:00+00,PSME,30.3,Fair,92,43,48,staff,,4,{8EABDB98-147D-497E-9A9C-89F4F207DDFE},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,13,6861.34,2151.4,139.55,28.8,1.87,124.6,8.33,15.13,33.5,25.33,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,CE,L,Yes,,,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico",Bracts on cones look like a mouse's feet and tail.,137
-13656855.9504724,5716391.78702176,439,2017/05/11 00:00:00+00,CEHAOC,9.6,Fair,28,30,28,staff,,5,{1428485B-B7A5-4491-820D-C3831568A3DE},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,14,1122.94,318,20.63,15.1,0.98,38.7,2.59,4.7,10.4,8.27,Cannabaceae,Celtis,common hackberry,Celtis occidentalis,BD,M,No,,,North America - Great Plains to New England,"Alternate leaves have uneven bases, similar to elms. Bark develops irregular warty bumps with age.",34
-13656860.9699369,5716368.60759533,440,2017/05/11 00:00:00+00,PRCE,25.5,Fair,39,37,51,staff,,6,{B6CB4696-EBE8-4554-82A2-07DB75F88F62},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,15,6650.57,3876.4,251.44,70.6,4.58,68.8,4.6,8.35,18.5,17.53,Rosaceae,Prunus,flowering plum,Prunus cerasifera,BD,S,No,,,Asia - western Asia,Earliest of the flowering trees in spring.,34
-13656864.2947627,5716352.39608291,441,2017/05/11 00:00:00+00,PRCE,18.2,Poor,36,38,35,staff,,5,{34D0C9A5-59BD-4B73-87A5-A79E08ACBA73},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,16,1157.67,1704.1,110.54,14.5,0.94,49,3.28,5.95,13.2,10.17,Rosaceae,Prunus,flowering plum,Prunus cerasifera,BD,S,No,,,Asia - western Asia,Earliest of the flowering trees in spring.,34
-13656872.9744672,5716317.61425768,442,2017/05/11 00:00:00+00,CRLA,12.4,Good,31,32,32,staff,,5,{E0EEE1CD-1EA8-47D0-8D06-87A66843BFE9},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,17,2273.56,560.4,36.35,28,1.82,44.7,2.99,5.42,12,10.23,Rosaceae,Crataegus,Lavalle hawthorn,Crataegus x lavalleei,BD,S,No,,,North America - a hybrid between a Mexican and a USA species,"Like most hawthorns, the tree has stout thorns up to 2"" long.",34
-13656869.2181631,5716335.7716426,443,2017/05/11 00:00:00+00,CECAER,4.7,Fair,26,21,16,staff,,8,{8C3FB6E1-3837-4DC3-9D8C-48C2EC3A91C4},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,18,393.64,56.3,3.65,5.5,0.36,12.2,0.82,1.49,3.3,2.66,Fabaceae,Cercis,eastern redbud,Cercis canadensis,BD,S,No,,,North America - eastern USA from southern Wisconsin south to eastern Texas and from Florida north to Pennsylvania and extreme southern Ontario in Canada,"Leaves are heart shaped and green turning yellow in fall. Brown, flat seedpods in fall.",34
-13656876.7645824,5716299.85440831,444,2017/05/11 00:00:00+00,MA,11.6,Poor,34,34,39,staff,Malus baccata,5,{1FDDB1FA-3083-4C0E-9255-7AD1C8EEE744},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,19,504.64,472.3,30.64,6.3,0.41,41.8,2.8,5.08,11.3,8.28,Rosaceae,Malus,ornamental crabapple,Malus spp.,BD,S,No,,,,White to pale or deep pink apple-like flowers in spring before the leaves. Round fall fruits in colors from red to purple to yellow.,34
-13656880.3761333,5716284.39627118,445,2017/05/11 00:00:00+00,MGSO,8,Fair,27,25,24,staff,,6,{04C1208C-9F2A-431D-B1B8-3CF37AD496D5},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,20,757.48,199.5,12.94,11.5,0.74,23.6,1.58,2.87,6.3,5.19,Magnoliaceae,Magnolia,saucer magnolia,Magnolia x soulangeana,BD,S,No,,,Asia - hybrid between two species from China,Obovate to oblong leaves turn yellow or light brown in fall. Showy goblet shaped pink or white flowers in early spring.,34
-13656884.0896369,5716268.18711195,446,2017/05/11 00:00:00+00,MA,13,Fair,18,29,31,staff,,5,{7E162AAD-3CB8-41BF-B330-675DEA6C9925},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2306,1856.97,621.8,40.33,22.2,1.44,30.9,2.07,3.76,8.3,7.27,Rosaceae,Malus,ornamental crabapple,Malus spp.,BD,S,No,,,,White to pale or deep pink apple-like flowers in spring before the leaves. Round fall fruits in colors from red to purple to yellow.,34
-13656885.5214485,5716252.72150772,447,2017/05/11 00:00:00+00,MA,9.3,Poor,17,25,26,staff,,5,{FE0BFF5F-5B3A-4ED7-B0E3-0CC0C43E9B7D},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2307,345.04,277.1,17.98,4.6,0.3,21.9,1.46,2.66,5.9,4.42,Rosaceae,Malus,ornamental crabapple,Malus spp.,BD,S,No,,,,White to pale or deep pink apple-like flowers in spring before the leaves. Round fall fruits in colors from red to purple to yellow.,34
-13656891.3721485,5716226.94193606,448,2017/05/11 00:00:00+00,MA,9.7,Poor,23,27,29,staff,,6,{35C3EFCC-D583-4156-8A34-71CB4D517E80},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2308,370.27,306.7,19.89,4.9,0.31,25.9,1.73,3.14,7,5.19,Rosaceae,Malus,ornamental crabapple,Malus spp.,BD,S,No,,,,White to pale or deep pink apple-like flowers in spring before the leaves. Round fall fruits in colors from red to purple to yellow.,34
-13656888.2880961,5716239.13535138,449,2017/05/11 00:00:00+00,MA,7.1,Poor,18,26,25,staff,,3,{AEB3AECB-8706-48B5-8C8E-18BFC4309CAB},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2309,225.24,144.7,9.39,3.1,0.2,22.1,1.48,2.68,5.9,4.36,Rosaceae,Malus,ornamental crabapple,Malus spp.,BD,S,No,,,,White to pale or deep pink apple-like flowers in spring before the leaves. Round fall fruits in colors from red to purple to yellow.,34
-13656896.2832472,5716212.88166539,450,2017/05/15 00:00:00+00,ACGR,6.6,Fair,19,17,13,staff,,7,{A9708D25-E894-4E4C-9AC3-9C28B7D55DD3},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2310,563.99,156.2,10.13,9.9,0.64,14,0.94,1.7,3.8,3.28,Sapindaceae,Acer,paperbark maple,Acer griseum,BD,S,No,,,Asia - central China,Easily identified by its red-brown bark that peels back in papery squares.,34
-13656900.0017668,5716199.45336173,451,2017/05/15 00:00:00+00,ACGR,6.2,Fair,27,14,14,staff,,8,{BF531E3D-18FA-4823-8531-EB3127065917},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2311,519.44,135.7,8.8,9.1,0.59,11.5,0.77,1.4,3.1,2.76,Sapindaceae,Acer,paperbark maple,Acer griseum,BD,S,No,,,Asia - central China,Easily identified by its red-brown bark that peels back in papery squares.,34
-13656906.9998649,5716184.30744781,452,2017/05/15 00:00:00+00,FREX,20.3,Fair,49,48,42,staff,,8,{7BAAC1D5-CA4F-42A9-B427-3B69A31A8052},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2312,3148.15,1655.9,107.41,34.4,2.23,81.8,5.47,9.94,22,17.64,Oleaceae,Fraxinus,European ash,Fraxinus excelsior,BD,M,No,,,,,34
-13656911.3642578,5716172.18336562,453,2017/05/15 00:00:00+00,FREX,22.9,Fair,50,52,41,staff,,8,{EB265A76-C047-4B81-8D9A-82F2E7635F12},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2313,3952.02,2182.4,141.56,40.2,2.61,88.3,5.9,10.72,23.7,19.23,Oleaceae,Fraxinus,European ash,Fraxinus excelsior,BD,M,No,,,,,34
-13656917.9019022,5716156.49918103,454,2017/05/15 00:00:00+00,MA,3.6,Fair,16,17,20,staff,,1,{3EBD9685-C815-4CDD-B7B9-E923FBBE07AE},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2314,302.69,28.4,1.84,3.7,0.24,11,0.74,1.34,3,2.32,Rosaceae,Malus,ornamental crabapple,Malus spp.,BD,S,No,,,,White to pale or deep pink apple-like flowers in spring before the leaves. Round fall fruits in colors from red to purple to yellow.,34
-13656929.3416069,5716139.30932604,455,2017/05/15 00:00:00+00,FRAM,4.2,Fair,27,14,13,staff,,6,{E196F586-8328-46FC-8C4D-C48D62BBA2BF},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2315,325.09,49.7,3.23,5.5,0.36,8.5,0.57,1.03,2.3,1.95,Oleaceae,Fraxinus,white ash,Fraxinus americana,BD,M,No,,,"North America - wide distribution in the eastern USA and Ontario, Canada","Compound pinnate leaves 2-12"" long with ovate leaflets. Fall color varies from yellow to red or purple.",34
-13656935.5498336,5716121.25353581,456,2017/05/15 00:00:00+00,ACPL,17.3,Fair,44,50,40,staff,,5,{68EB7185-8533-4605-A0EA-BA918E7E955C},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2316,3725.91,1314.6,85.27,32.3,2.09,88.1,5.89,10.7,23.7,18.69,Sapindaceae,Acer,Norway maple,Acer platanoides,BD,M,No,,Yes ,"Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,34
-13656876.3111797,5716408.76767201,457,2017/05/17 00:00:00+00,ACDA,6.8,Fair,20,23,13,staff,,8,{07551523-1050-4CAF-ACB7-DF4ACAA73474},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2317,587.31,167.1,10.84,10.3,0.67,18.6,1.24,2.26,5,4.17,Sapindaceae,Acer,snakebark maple,Acer davidii,BD,S,No,,,Asia,"Leaves unlobed, but can have small basal lobes. Greenish bark has long grey to white vertical stripes.",34
-13656887.0506841,5716368.61556078,458,2017/05/17 00:00:00+00,SEGI,69.2,Good,90,33,37,staff,,0,{F51FE0A1-F1EC-43D5-A2D6-509ACB3C824B},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2318,34686.64,12875.7,835.17,65.8,4.27,79.4,5.31,9.64,21.4,19.22,Cupressaceae,Sequoiadendron,giant sequoia,Sequoiadendron giganteum,CE,L,No,,,North America - California in the Sierra Nevada,"World's largest tree by volume. Can live over 2,000 years.",34
-13656887.2669783,5716353.3272314,459,2017/05/17 00:00:00+00,SEGI,51.7,Fair,102,33,27,staff,,3,{B08307DD-3891-4B0F-A33B-444450CA1FB1},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2319,19766.97,7711.5,500.2,65,4.22,58.3,3.9,7.08,15.7,15.2,Cupressaceae,Sequoiadendron,giant sequoia,Sequoiadendron giganteum,CE,L,No,,,North America - California in the Sierra Nevada,"World's largest tree by volume. Can live over 2,000 years.",34
-13656887.6812575,5716337.18015416,460,2017/05/17 00:00:00+00,ZESE,31,Fair,69,60,86,staff,,1,{F051C2A1-D2B3-40F1-81DC-79B9A3B2DFE2},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2320,11385,5426.2,351.97,80.4,5.22,158.4,10.59,19.23,42.6,35.04,Ulmaceae,Zelkova,Japanese zelkova,Zelkova serrata,BD,M,No,,,Asia,,34
-13656887.5261541,5716326.24516488,461,2017/05/17 00:00:00+00,ZESE,38.5,Fair,78,60,77,staff,,6,{A33A0D17-28A4-48EE-9A5A-9A5EC72FD1CD},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2321,16626.68,9189.9,596.09,109.8,7.12,141.4,9.45,17.18,38,33.75,Ulmaceae,Zelkova,Japanese zelkova,Zelkova serrata,BD,M,No,,,Asia,,34
-13656895.5140357,5716312.82858833,462,2017/05/17 00:00:00+00,SEGI,66,Fair,58,48,47,staff,,2,{CDD27AC0-DC26-4D92-A2F6-B4C4009763B5},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2322,25062.54,12414.6,805.26,55,3.57,135.8,9.08,16.49,36.5,29.14,Cupressaceae,Sequoiadendron,giant sequoia,Sequoiadendron giganteum,CE,L,No,,,North America - California in the Sierra Nevada,"World's largest tree by volume. Can live over 2,000 years.",34
-13656907.281937,5716226.2076844,463,2017/05/17 00:00:00+00,LITU,26.1,Fair,103,35,33,staff,,7,{5F646E10-0393-42A4-9537-3ADB696522DD},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2323,9885.21,2815.3,182.61,49.2,3.19,66.7,4.46,8.1,17.9,15.76,Magnoliaceae,Liriodendron,tuliptree,Liriodendron tulipifera,BD,L,No,,,"North America - eastern USA across all the southern states and north to Michigan, New York and southern Ontario, Canada","The flowers are 2.5"" long and consist of six pale-green petals arranged like a tulip.",34
-13656919.5340622,5716215.23999049,464,2017/05/17 00:00:00+00,LITU,33.3,Fair,138,46,60,staff,,6,{CC1F382A-3206-4D05-BCA3-919C8073D0A8},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2324,15611.31,5046.3,327.32,69.1,4.48,155.1,10.36,18.83,41.7,33.68,Magnoliaceae,Liriodendron,tuliptree,Liriodendron tulipifera,BD,L,No,,,"North America - eastern USA across all the southern states and north to Michigan, New York and southern Ontario, Canada","The flowers are 2.5"" long and consist of six pale-green petals arranged like a tulip.",34
-13656935.2444077,5716204.66761417,465,2017/05/17 00:00:00+00,LITU,36.3,Fair,111,52,59,staff,,7,{444E365D-7FB3-4255-A55B-601807033420},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2325,18125.49,6204.6,402.45,77.9,5.05,167.4,11.19,20.34,45,36.58,Magnoliaceae,Liriodendron,tuliptree,Liriodendron tulipifera,BD,L,No,,,"North America - eastern USA across all the southern states and north to Michigan, New York and southern Ontario, Canada","The flowers are 2.5"" long and consist of six pale-green petals arranged like a tulip.",34
-13656926.7975624,5716190.4865468,466,2017/05/17 00:00:00+00,ZESE,32.8,Fair,78,77,57,staff,,5,{385C40CC-D439-4AA8-8E0D-753C73FD9D0C},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2326,12695.21,6225.2,403.79,87.2,5.66,135.3,9.04,16.43,36.4,31.13,Ulmaceae,Zelkova,Japanese zelkova,Zelkova serrata,BD,M,No,,,Asia,,34
-13656920.681865,5716179.72060842,467,2017/05/17 00:00:00+00,ACSA,33.5,Poor,100,73,77,staff,,24,{60A6AC04-82E2-4C6D-92B0-50E20412D275},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,2327,2099.48,5172.5,335.51,19.6,1.27,168.4,11.25,20.45,45.3,32.97,Sapindaceae,Acer,silver maple,Acer saccharinum,BD,L,No,,,"North America - eastern Canada, eastern USA from Minnesota to Maine south to Georgia and Arkansas",The back side of the leaves is a silver gray.,34
-13653965.7401512,5700409.60651232,468,2017/05/19 00:00:00+00,ACPL,12.2,Fair,41,38,33,staff,,5,{0EC1DE54-23DA-43D2-9EFD-4220B2E97E30},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,21,1931.3,598.4,38.81,20.7,1.35,55.2,3.69,6.71,14.9,11.74,Sapindaceae,Acer,Norway maple,Acer platanoides,BD,M,No,,Yes ,"Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,67
-13653955.6507663,5700409.25821679,469,2017/05/19 00:00:00+00,ACPL,29,Fair,63,63,60,staff,,5,{7CD06AA5-E4FE-40A0-A8DA-1F159C3A0603},N,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,22,10187.56,4221.8,273.84,62.4,4.05,159.8,10.68,19.41,43,34.14,Sapindaceae,Acer,Norway maple,Acer platanoides,BD,M,No,,Yes ,"Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,67
-13653954.6120659,5700393.85339254,470,2017/05/19 00:00:00+00,PSME,54.7,Poor,102,57,58,staff,,6,{FE793A83-94A5-47E3-BE4C-B7C7B84D72B2},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,23,5536.99,6715.2,435.57,19.3,1.25,189.3,12.65,22.99,50.9,36.9,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,CE,L,Yes,,,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico",Bracts on cones look like a mouse's feet and tail.,67
-13653936.3543758,5700389.88900173,471,2017/05/19 00:00:00+00,PSME,39.6,Fair,117,58,51,staff,,7,{1E9B3B6B-B19A-4947-B392-EA5F80B9735E},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,24,11037.83,3617.4,234.64,39.4,2.55,170,11.37,20.65,45.7,34.57,Pinaceae,Pseudotsuga,Douglas-fir,Pseudotsuga menziesii,CE,L,Yes,,,"North America - from British Columbia south to Oregon, Washington, California, Idaho and western Montana with a subspecies in the Rocky Mountain states and into northern Mexico",Bracts on cones look like a mouse's feet and tail.,67
-13653965.0660428,5700385.7855456,472,2017/05/19 00:00:00+00,ACPL,13.5,Fair,37,37,38,staff,,3,{4D7B29D1-2D52-4468-9199-86D6B0757AEE},,PARKS_ADMIN,2017/05/23 19:37:43+00,PKJOSHUA,2024/08/20 21:52:30+00,25,2329.82,751.7,48.76,23.6,1.53,61.8,4.13,7.5,16.6,13.16,Sapindaceae,Acer,Norway maple,Acer platanoides,BD,M,No,,Yes ,"Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,67
